trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 0.18999999999999967, 'e': 0.33287108369807955}",20,0,-48.476661640878774,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.18999999999999967, 'e': 0.31663676937905316}",30,0,-88.2840590118522,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
25,False,"{'a': 0.18999999999999967, 'e': 0.301194211912202}",20,0,-9.222388519025502,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.18999999999999967, 'e': 0.2865047968601901}",25,0,-15.549528107413344,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",1
27,False,"{'a': 0.18999999999999967, 'e': 0.2725317930340126}",20,0,9.432779275408981,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.18999999999999967, 'e': 0.2592402606458915}",30,12,14.590425526463836,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.18999999999999967, 'e': 0.24659696394160643}",20,0,-41.66351969827698,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.18999999999999967, 'e': 0.23457028809379762}",20,0,19.719882591553112,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.18999999999999967, 'e': 0.22313016014842982}",20,6,-43.604132295698115,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.18999999999999967, 'e': 0.21224797382674304}",35,18,-9.385943543576774,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.18999999999999967, 'e': 0.20189651799465538}",30,0,20.94443692457029,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.18999999999999967, 'e': 0.19204990862075408}",30,5,14.711811553803352,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.18999999999999967, 'e': 0.1826835240527346}",25,9,-25.973524424486673,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
36,False,"{'a': 0.18999999999999967, 'e': 0.17377394345044514}",25,1,31.93918019119878,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.18999999999999967, 'e': 0.16529888822158653}",25,10,24.19139483479921,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.18999999999999967, 'e': 0.1572371663136276}",30,2,12.076578444952549,"{0: 24, 1: 4, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.18999999999999967, 'e': 0.14956861922263504}",35,26,14.721397358530659,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.18999999999999967, 'e': 0.14227407158651353}",25,0,-9.320817998693622,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.18999999999999967, 'e': 0.1353352832366127}",20,7,26.207115660326117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.18999999999999967, 'e': 0.12873490358780418}",20,0,-37.65786650528903,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
43,False,"{'a': 0.18999999999999967, 'e': 0.1224564282529819}",25,2,26.67080859678995,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.18999999999999967, 'e': 0.11648415777349697}",25,0,19.08187431262363,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.18999999999999967, 'e': 0.11080315836233387}",25,0,-12.879912903628108,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.18999999999999967, 'e': 0.10539922456186433}",20,0,31.150201489101548,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.18999999999999967, 'e': 0.1002588437228037}",20,13,-43.37326936130056,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.18999999999999967, 'e': 0.09536916221554961}",25,13,19.621592499685175,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.18999999999999967, 'e': 0.09071795328941247}",25,0,41.73565900397024,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.18999999999999967, 'e': 0.0862935864993705}",20,9,14.041625202965701,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.18999999999999967, 'e': 0.0820849986238988}",20,0,12.217580482551785,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
52,False,"{'a': 0.18999999999999967, 'e': 0.07808166600115313}",25,11,16.92308636046903,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.18999999999999967, 'e': 0.07427357821433388}",20,0,-13.991928071282658,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
